,,,,,
Date,Facebook Close,Tesla Close,Tilray Close,Amazon Close,Shopify Close
03/11/2017,178.92,61.22,,1111.6,129.07
06/11/2017,180.17,60.56,,1120.66,127.3
07/11/2017,180.25,61.21,,1123.17,124.21
08/11/2017,179.56,60.88,,1132.88,127.92
09/11/2017,179.3,60.6,,1129.13,126.28
10/11/2017,178.46,60.6,,1125.35,125.12
13/11/2017,178.77,63.08,,1129.17,118.3
14/11/2017,178.07,61.74,,1136.84,122.14
15/11/2017,177.95,62.26,,1126.69,123.34
16/11/2017,179.59,62.5,,1137.29,118.51
17/11/2017,179,63.01,,1129.88,119.55
20/11/2017,178.74,61.75,,1126.31,127.94
21/11/2017,181.86,63.56,,1139.49,126.06
22/11/2017,180.87,62.52,,1156.16,137.56
24/11/2017,182.78,63.11,,1186,137.95
27/11/2017,183.03,63.36,,1195.83,137.53
28/11/2017,182.42,63.51,,1193.6,142.78
29/11/2017,175.13,61.51,,1161.27,132.9
30/11/2017,177.18,61.77,,1176.75,134.18
01/12/2017,175.1,61.31,,1162.35,137
04/12/2017,171.47,61.04,,1133.95,136.27
05/12/2017,172.83,60.74,,1141.57,137.66
06/12/2017,176.06,62.65,,1152.35,138.21
07/12/2017,180.14,62.25,,1159.79,136.85
08/12/2017,179,63.03,,1162,136.75
11/12/2017,179.04,65.78,,1168.92,139.29
12/12/2017,176.96,68.21,,1165.08,141.51
13/12/2017,178.3,67.81,,1164.13,143.68
14/12/2017,178.39,67.58,,1174.26,147.41
15/12/2017,180.18,68.69,,1179.14,149.16
18/12/2017,180.82,67.77,,1190.58,148.15
19/12/2017,179.51,66.22,,1187.38,145.32
20/12/2017,177.89,65.8,,1177.62,146.25
21/12/2017,177.45,66.33,,1174.76,147.41
22/12/2017,177.2,65.04,,1168.36,147.22
26/12/2017,175.99,63.46,,1176.76,145.62
27/12/2017,177.62,62.33,,1182.26,153.11
28/12/2017,177.92,63.07,,1186.1,149.4
29/12/2017,176.46,62.27,,1169.47,145.45
02/01/2018,181.42,64.11,,1189.01,141.66
03/01/2018,184.67,63.45,,1204.2,136.72
04/01/2018,184.33,62.92,,1209.59,128.82
05/01/2018,186.85,63.32,,1229.14,121.6
08/01/2018,188.28,67.28,,1246.87,124.59
09/01/2018,187.87,66.74,,1252.7,122.08
10/01/2018,187.84,66.96,,1254.33,119.37
11/01/2018,187.77,67.59,,1276.68,120.67
12/01/2018,179.37,67.24,,1305.2,120.14
16/01/2018,178.39,68.01,,1304.86,117.42
17/01/2018,177.6,69.43,,1295,118.95
18/01/2018,179.8,68.91,,1293.32,122.87
19/01/2018,181.29,70,,1294.58,119.53
22/01/2018,185.37,70.31,,1327.31,120.75
23/01/2018,189.35,70.56,,1362.54,117.51
24/01/2018,186.55,69.18,,1357.51,116.94
25/01/2018,187.48,67.53,,1377.95,125.96
26/01/2018,190,68.57,,1402.05,127.56
29/01/2018,185.98,69.91,,1417.68,126.67
30/01/2018,187.12,69.16,,1437.82,126.79
31/01/2018,186.89,70.86,,1450.89,122.91
01/02/2018,193.09,69.85,,1390,123.14
02/02/2018,190.28,68.75,,1429.95,120.02
05/02/2018,181.26,66.63,,1390,124.15
06/02/2018,185.31,66.79,,1442.84,126.62
07/02/2018,180.18,69,,1416.78,133.63
08/02/2018,171.58,63.05,,1350.5,127.68
09/02/2018,176.11,62.08,,1339.6,124.81
12/02/2018,176.41,63.15,,1386.23,135.17
13/02/2018,173.15,64.73,,1414.51,136.13
14/02/2018,179.52,64.46,,1451.05,138.56
15/02/2018,179.96,66.81,,1461.76,143.31
16/02/2018,177.36,67.1,,1448.69,146.1
20/02/2018,176.01,66.95,,1468.35,146.23
21/02/2018,177.91,66.66,,1482.92,144.47
22/02/2018,178.99,69.23,,1485.34,142.64
23/02/2018,183.29,70.41,,1500,142.5
26/02/2018,184.93,71.48,,1521.95,142.28
27/02/2018,181.46,70.2,,1511.98,146.1
28/02/2018,178.32,68.61,,1512.45,147.06
01/03/2018,175.94,66.19,,1493.45,144.51
02/03/2018,176.62,67.02,,1500.25,138.75
05/03/2018,180.4,66.67,,1523.61,140.83
06/03/2018,179.78,65.64,,1537.64,143.05
07/03/2018,183.71,66.46,,1545,143.64
08/03/2018,182.34,65.82,,1551.86,143.29
09/03/2018,185.23,65.43,,1578.89,145.84
12/03/2018,184.76,69.1,,1598.39,148.09
13/03/2018,181.88,68.37,,1588.18,150.8
14/03/2018,184.19,65.33,,1591,156.91
15/03/2018,183.86,65.12,,1582.32,161.06
16/03/2018,185.09,64.27,,1571.68,165.36
19/03/2018,172.56,62.71,,1544.93,161.26
20/03/2018,168.15,62.11,,1586.51,162.81
21/03/2018,169.39,63.31,,1581.86,160.24
22/03/2018,164.89,61.82,,1544.92,165.24
23/03/2018,159.39,60.31,,1495.56,165.09
26/03/2018,160.06,60.84,,1555.86,167.94
27/03/2018,152.22,55.84,,1497.05,168.44
28/03/2018,153.03,51.56,,1431.42,172.84
